feature_p1,feature_p2,feature_p3,feature_s1,feature_s2,feature_s3,vibration,vertical_acceleration_mps2,acoustic_db,timestamp,lift_identifier,failure_type
1529,38.7,91.0,301.1,310.5,5260.310784,4.187818337011865,0.04372151289317474,61.04187318050637,2025-09-22 01:53:28.782208,WP PMA 80467,No failure
1389,46.9,106.0,302.2,311.3,5286.162436,4.129782507370406,0.07834937135608212,55.02800163701602,2025-09-22 01:55:00.782208,WP PMA 80466,No failure
1686,28.9,59.0,301.7,310.2,5281.800976,41.80940364666146,1.806523433807369,93.02853967611605,2025-09-22 01:57:22.782208,WP PMA 80466,door open delay
1397,45.0,104.0,297.9,307.8,5360.875524,1.0909651588286813,0.10383194485555816,60.17457419087942,2025-09-22 02:23:42.782208,WP PMA 80271,No failure
1375,46.4,48.0,298.7,308.5,5373.476416,26.69484987609539,0.88461271440945,80.9906377364198,2025-09-22 02:26:38.782208,WP PMA 80467,door close delay
1531,36.8,62.0,299.6,310.1,5248.567809,0.6939082948200535,0.07718801965093662,58.564318518240256,2025-09-22 02:34:21.782208,WP PMA 80271,No failure
1605,37.0,84.0,296.9,307.8,5333.234841,23.86851950907212,0.9415366239424456,83.55504684964758,2025-09-22 02:40:31.782208,WP PMA 80271,door close delay
1433,49.6,129.0,299.7,309.6,5502.227329,0.9687402235810748,0.09418232048796142,57.132092029906104,2025-09-22 02:40:34.782208,WP PMA 80467,No failure
1513,40.0,51.0,300.4,311.7,5244.077056,25.14323664801961,0.5049198162018053,96.51196761417759,2025-09-22 02:43:19.782208,WP PMA 80271,door close delay
1492,41.5,141.0,297.1,308.3,5347.265625,0.4438895207307928,0.07895910881009975,60.64652978859524,2025-09-22 02:44:15.782208,WP PMA 80467,No failure
1375,46.4,48.0,298.7,308.5,5373.476416,26.69484987609539,0.88461271440945,80.9906377364198,2025-09-22 02:54:14.782208,WP PMA 80466,door close delay
1680,33.7,185.0,298.1,308.3,5464.462084,40.53621110002542,1.861302562403293,99.0882319471089,2025-09-22 02:55:52.782208,WP PMA 80467,signal delay
1708,29.8,42.0,302.8,310.9,5467.567249,2.387357762588941,0.047618497766785804,57.39672821608962,2025-09-22 03:03:15.782208,WP PMA 80271,No failure
1622,37.2,103.0,297.5,308.3,5457.958884,47.56231038168288,0.695912273194448,80.02490348311116,2025-09-22 03:15:43.782208,WP PMA 80271,Random failure
1424,49.6,129.0,298.8,309.7,5485.772356,4.8492010899411975,0.18586273531631087,56.49899010676953,2025-09-22 03:34:52.782208,WP PMA 80466,No failure
1609,35.2,4.0,302.0,310.8,5447.768481,3.0610942786328104,0.18711801583387527,64.2399965423006,2025-09-22 03:42:35.782208,WP PMA 80271,No failure
1305,54.6,168.0,297.0,308.4,5331.190225,4.045518977606758,0.11875983228328162,61.063505098255426,2025-09-22 03:44:20.782208,WP PMA 80467,No failure
1542,47.1,25.0,300.0,309.7,5259.585529,3.482362664461026,0.10453947704046032,55.39063121657619,2025-09-22 03:51:36.782208,WP PMA 80466,No failure
1416,58.7,156.0,303.8,312.8,5272.2121,33.788869839697,1.2694095011541886,98.03901176263835,2025-09-22 03:59:12.782208,WP PMA 80467,door open delay
1680,33.7,185.0,298.1,308.3,5464.462084,40.53621110002542,1.861302562403293,99.0882319471089,2025-09-22 04:03:07.782208,WP PMA 80467,signal delay
1621,33.7,137.0,301.6,310.6,5424.911716,4.234265629808255,0.053747925329140335,62.67993991727547,2025-09-22 04:07:24.782208,WP PMA 80271,No failure
1522,35.2,48.0,300.7,311.3,5506.382025,0.9225183202796347,0.1351857826474433,59.447141165096085,2025-09-22 04:17:49.782208,WP PMA 80466,No failure
1568,36.9,28.0,302.7,310.5,5464.1664,1.5564288691565848,0.12023617960172432,58.22132629774482,2025-09-22 04:23:09.782208,WP PMA 80467,No failure
1579,33.4,50.0,296.7,307.9,5438.177536,29.652550279830812,1.5245415270414138,90.68371500473029,2025-09-22 04:36:05.782208,WP PMA 80467,signal delay
1397,54.1,47.0,298.6,309.6,5299.694401,2.6084052152686135,0.08665205919211073,60.754520116336785,2025-09-22 04:41:47.782208,WP PMA 80466,No failure
1732,28.8,152.0,297.7,309.2,5328.416016,3.465514032264651,0.05492041305428491,58.90353115356438,2025-09-22 04:49:56.782208,WP PMA 80466,No failure
1664,29.7,89.0,299.0,310.1,5297.510656,1.7275419228905544,0.10421079382260885,62.47293903984162,2025-09-22 05:04:45.782208,WP PMA 80467,No failure
1486,38.9,106.0,300.7,310.9,5518.558369,27.887507757506174,1.9882297442715522,90.94967991009187,2025-09-22 05:22:42.782208,WP PMA 80271,door close delay
1649,31.0,152.0,302.0,309.8,5281.364929,3.4385180759713383,0.12071949910355106,56.67078036902895,2025-09-22 05:25:40.782208,WP PMA 80466,No failure
1441,43.2,132.0,298.7,308.4,5469.489936,35.1055782720759,0.9394025035890767,81.07925966492373,2025-09-22 05:35:58.782208,WP PMA 80271,door close delay
1495,40.8,148.0,301.3,311.0,5260.891024,0.27878164041172204,0.060924006216987875,58.59511583383296,2025-09-22 05:36:44.782208,WP PMA 80467,No failure
1566,35.1,206.0,296.5,307.5,5334.8416,3.528771774447278,0.11453067744894582,59.35103064782784,2025-09-22 05:39:07.782208,WP PMA 80271,No failure
1681,30.8,171.0,299.4,308.7,5381.249449,1.9267252665321872,0.09687977353812137,56.96597212414775,2025-09-22 05:40:28.782208,WP PMA 80271,No failure
