Premise Owner,Premise Name,Location desc,Lift ID,Capacity,Manufacturer,Installed year,Company,PMA Expiry Date,Latitude,Longitude
Akademi Pencegah Rasuah Kuala Lumpur,Akademi Pencegah Rasuah Kuala Lumpur,ASRAMA BLOK A,WP PMA 24713,800 kg,FUJI,2000,IMPIAN MNI SDN.BHD.,27-Feb-20,3.168333256,101.6729271
Akademi Pencegah Rasuah Kuala Lumpur,Akademi Pencegah Rasuah Kuala Lumpur,ASRAMA BLOK A,WP PMA 24714,800 kg,FUJI,2000,IMPIAN MNI SDN.BHD.,24-Dec-19,3.168333256,101.6729271
Akademi Pencegah Rasuah Kuala Lumpur,Akademi Pencegah Rasuah Kuala Lumpur,ASRAMA BLOK B,WP PMA 24715,800 kg,MITSUBISHI,2000,IMPIAN MNI SDN.BHD.,26-May-21,3.168333256,101.6729271
Akademi Pencegah Rasuah Kuala Lumpur,Akademi Pencegah Rasuah Kuala Lumpur,ASRAMA BLOK B,WP PMA 13887,800 kg,FUJI,2000,IMPIAN MNI SDN.BHD.,26-May-21,3.168333256,101.6729271
Akademi Pencegah Rasuah Kuala Lumpur,Akademi Pencegah Rasuah Kuala Lumpur,PANGSAPURI BLOK A,WP PMA 24711,800 kg,FUJI,2000,IMPIAN MNI SDN.BHD.,26-May-21,3.168333256,101.6729271
Akademi Pencegah Rasuah Kuala Lumpur,Akademi Pencegah Rasuah Kuala Lumpur,PANGSAPURI BLOK B,WP PMA 24712,800 kg,FUJI,2000,IMPIAN MNI SDN.BHD.,26-May-21,3.168333256,101.6729271
Bahagian Pengurusan Hartanah,Kompleks Kediaman Kakitangan Awam Jalan Uthant,BLOK A L1,WP PMA 4164,800 kg,TOSHIBA,2000,RANI MS ENGINEERING,27-Feb-25,3.152963483,101.7364352
Bahagian Pengurusan Hartanah,Kompleks Kediaman Kakitangan Awam Jalan Uthant,BLOK A L2,WP PMA 4165,800 kg,TOSHIBA,2000,RANI MS ENGINEERING,27-Feb-25,3.152963483,101.7364352
Bahagian Pengurusan Hartanah,Kompleks Kediaman Kakitangan Awam Jalan Uthant,BLOK A L3,WP PMA 4346,800 kg,TOSHIBA,2000,RANI MS ENGINEERING,27-Feb-25,3.152963483,101.7364352
Bahagian Pengurusan Hartanah,Kompleks Kediaman Kakitangan Awam Jalan Uthant,BLOK A L4,WP PMA 4345,800 kg,TOSHIBA,2000,RANI MS ENGINEERING,27-Feb-25,3.152963483,101.7364352
Bahagian Pengurusan Hartanah,Kompleks Kediaman Kakitangan Awam Jalan Uthant,BLOK B,WP PMA 4344,800 kg,TOSHIBA,2000,RANI MS ENGINEERING,27-Feb-25,3.152963483,101.7364352
Bahagian Pengurusan Hartanah,Kompleks Kediaman Kakitangan Awam Jalan Uthant,BLOK B,WP PMA 4343,800 kg,TOSHIBA,2000,RANI MS ENGINEERING,27-Feb-25,3.152963483,101.7364352
Bahagian Pengurusan Hartanah,Kompleks Kediaman Kakitangan Awam Jalan Uthant,BLOK B,WP PMA 4159,800 kg,TOSHIBA,2000,RANI MS ENGINEERING,27-Feb-25,3.152963483,101.7364352
Bahagian Pengurusan Hartanah,Kompleks Kediaman Kakitangan Awam Jalan Uthant,BLOK B,WP PMA 4160,800 kg,TOSHIBA,2000,RANI MS ENGINEERING,27-Feb-25,3.152963483,101.7364352
Bahagian Pengurusan Hartanah,Kompleks Kediaman Kakitangan Awam Jalan Uthant,BLOK C,WP PMA 4167,800 kg,TOSHIBA,2000,RANI MS ENGINEERING,14-Jun-24,3.152963483,101.7364352
Bahagian Pengurusan Hartanah,Kompleks Kediaman Kakitangan Awam Jalan Uthant,BLOK D,WP PMA 4163,800 kg,TOSHIBA,2000,RANI MS ENGINEERING,27-Feb-25,3.152963483,101.7364352
Bahagian Pengurusan Hartanah,Kompleks Kediaman Kakitangan Awam Jalan Uthant,BLOK D,WP PMA 4161,800 kg,TOSHIBA,2000,RANI MS ENGINEERING,27-Feb-25,3.152963483,101.7364352
Bahagian Pengurusan Hartanah,Kompleks Kediaman Kakitangan Awam Jalan Uthant,BLOK E,WP PMA 4537,800 kg,TOSHIBA,2000,RANI MS ENGINEERING,27-Feb-25,3.152963483,101.7364352
Bahagian Pengurusan Hartanah,Kompleks Kediaman Kakitangan Awam Jalan Uthant,BLOK E,WP PMA 4538,800 kg,TOSHIBA,2000,RANI MS ENGINEERING,27-Feb-25,3.152963483,101.7364352
Bahagian Teknologi Pendidikan Bukit Kiara,Bahagian Teknologi Pendidikan Bukit Kiara,BAHAGIAN SUMBER TEKNOLOGI PENDIDIKAN,SL PMA 45692,800 kg,SCHINDLER,2000,TUAH AKSA SDN BHD,12-Oct-24,3.146968545,101.6469771
