name,lat,lng,status
Akademi Pencegah Rasuah Kuala Lumpur,3.168333256,101.6729271,Normal
Bahagian Teknologi Pendidikan Bukit Kiara,3.146968545,101.6469771,Normal
Ibu Pejabat Polis Bukit Aman,3.148179626,101.6882789,Normal
Institut Latihan KEMAS Kuala Lumpur,3.12844983,101.6907739,Normal
Institute of Diplomacy and Foreign Relations,3.133671805,101.7027615,Normal
INTAN Bukit Kiara,3.142639394,101.6467935,Normal
INTAN Jalan Elmu,3.119503715,101.649136,Normal
Jabatan Meteorologi Kuala Lumpur,3.104022911,101.6479988,Normal
Jabatan Pendidikan Wilayah Persekutuan Kuala Lumpur Kuala Lumpur,3.168761668,101.674923,Normal
Jabatan Warisan Negara Kuala Lumpur,3.148057402,101.6946419,Normal
JKR Bahagian Perkhidmatan Mekanikal,3.112370312,101.7386262,Normal
Kolej Tingkatan Enam Desa Mahkota,3.189021104,101.639506,Normal
Kompleks Institusi Pendidikan Desa Perwira,3.135979612,101.7323866,Normal
Kompleks Institusi Pendidikan Seri Seputeh,3.113104124,101.6806897,Normal
Kompleks Institusi Pendidikan Sri Bintang,3.122045969,101.7339417,Normal
Kompleks Kediaman Kakitangan Awam Jalan Brickfield,3.125694389,101.679525,Normal
Kompleks Kediaman Kakitangan Awam Jalan Duta,3.182445617,101.6670051,Normal
Kompleks Kediaman Kakitangan Awam Jalan Uthant,3.152963483,101.7364352,Normal
Kompleks Pusat Islam Jabatan Agama Islam Wilayah Persekutuan,3.140095839,101.6910878,Normal
Lembaga Peperiksaan Kuala Lumpur,3.169347837,101.6702363,Normal
Mahkamah Syariah Wilayah Persekutuan,3.166733555,101.6693461,Normal
Malaysia Space Agency,3.162885809,101.6896257,Normal
Masjid Wilayah Persekutuan,3.172032781,101.6712164,Normal
SMK (P) Air Panas,3.189754752,101.7155203,Normal
SMK Cochrane,3.130766204,101.7265797,Normal
SMK Cochrane Perkasa,3.135254116,101.7250075,Normal
SMK Convent Jalan Peel,3.130794075,101.7203842,Normal
SMK Maxwell,3.171185474,101.6912834,Normal
SMK Orkid Desa,3.076756033,101.7365837,Normal
SMK Petaling,3.08093184,101.6604596,Normal
SMK Sentul Utama,3.175220467,101.6912721,Normal
SMK Seri Sentosa,3.093051133,101.6826147,Normal
SMK Tiara Permai,3.209244432,101.6739873,Normal
SPRM Wilayah Persekutuan Kuala Lumpur,3.131979018,101.7302286,Normal
Kompleks Kemudahan PDRM Kuala Lumpur,3.219036916,101.6844225,Normal
